KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00018	752.761463915022	2003.82066175926	1310.94065958296	529.112296206102	2608.49143670255	1438.8759375613	2128.72914356049	1742.96241272422	2079.96358630586	1474.89892216968	16070.5565204875	1607.05565204875	641.159214236841	0.398965159308244	hprA	glycerate dehydrogenase
K00023	8266.37359258448	6074.8429791963	7216.86526333504	2543.70131283348	8163.47131545527	3839.16329607284	7317.03603297413	4686.67141812879	5313.67599567906	4023.50092998966	57445.3021362491	5744.53021362491	1974.92595590659	0.343792422089181	phbB	acetoacetyl-CoA reductase
K00024	12669.4294856088	12176.8847779837	9611.06169475229	13253.9910165452	11350.4468056337	11895.9888427417	11526.2832542637	11803.2674315819	11299.7066949815	13124.3217766382	118711.381780731	11871.1381780731	1056.36952538856	0.0889863726243	mdh	malate dehydrogenase
K00025	0	0	81.6883291404692	0	0	0	0	0	0	0	81.6883291404692	8.16883291404692	25.8321178337387	3.16227766016838	MDH1	malate dehydrogenase
K00026	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	MDH2	malate dehydrogenase
K00027	2540.89607745662	2741.59032500367	3305.98840038569	7644.08305743085	4472.65885873148	2411.16875407004	4378.13059057598	5311.82352764489	2977.49840662123	7081.51366385547	42865.3516617759	4286.53516617759	1879.8770464279	0.438553977408339	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)
K00028	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.39	malate dehydrogenase (decarboxylating)
K00029	1792.91071002153	3021.63412759105	2085.51801914985	1174.19814067463	2865.81539716869	3969.77259176187	3012.3898004186	846.892420394032	2652.9851637644	927.968796558658	22350.0851675033	2235.00851675033	1042.6177187099	0.466493845950013	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	4857.43063177827	4700.52988366412	3011.40644387161	4545.83079340146	3044.54241851717	2660.54440876216	3788.14577352472	4523.31695016355	3590.06708758874	2858.4080578204	37580.2224490922	3758.02224490922	844.110709597639	0.224615676700985	IDH3	isocitrate dehydrogenase (NAD+)
K00031	10946.7379322191	11380.7389539454	10854.9174024128	8503.11390514418	9147.23169164881	10490.5903948692	11107.709881096	8149.90585947257	11712.1735698809	10680.6811149282	102973.800705617	10297.3800705617	1242.87224693759	0.120697909411999	IDH1, IDH2, icd	isocitrate dehydrogenase
K00033	8419.35491618416	8837.81688005103	9900.57920177169	17691.9430976693	14371.8426992382	12053.3049493637	12837.7230607377	15327.7411296589	10437.3978245499	16668.6823623854	126546.38612161	12654.638612161	3282.66708654553	0.259404253819695	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	7363.92528382392	3095.86805285861	3081.11722175186	5162.31306543136	9049.06082574732	1307.74292132945	4661.30103369772	1575.6674016468	2930.74186582053	2141.46297197864	40369.2006440862	4036.92006440862	2537.90329143428	0.628673159473636	gdh	glucose 1-dehydrogenase
K00036	5818.96983140343	7783.83000108764	11659.2231871622	19862.0395963465	12455.7355009442	11594.364722027	13395.770549017	15444.4287893938	10535.2959337323	15025.7189556324	123575.377066746	12357.5377066746	3973.74046956397	0.321564098276443	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00043	18.4231644223294	28.4648123902101	372.951697283218	71.2555133469371	171.952707356553	421.023838953705	284.013962852199	23.5910262384413	86.5395485414781	68.3134090616389	1546.52968044671	154.652968044671	151.419087097951	0.979089434961342	gbd	4-hydroxybutyrate dehydrogenase
K00051	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.82	malate dehydrogenase (NADP+)
K00058	12902.6713476523	14021.6503098327	13342.9995919834	17087.6610801581	10688.6484894346	12563.6030730709	10482.0180734603	12914.2660108144	13295.975539182	13689.2150327786	130988.708548367	13098.8708548367	1832.57862807933	0.139903557214068	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00074	10963.0529008539	11018.5554984426	11914.4477066964	16299.2394540459	10805.054766265	16174.0155146695	9135.45710821972	13829.2649840216	12616.5514915649	12851.561760767	125607.201185546	12560.7201185546	2330.77503380207	0.185560621668423	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase
K00116	0	0	413.747075767994	92.9678566376997	34.5274251511552	0	40.2003791927681	140.182503484986	87.9335036951572	268.840059941907	1078.39880387167	107.839880387167	135.811099945228	1.25937732365465	mqo	malate dehydrogenase (quinone)
K00121	1068.98146460056	1066.61645566922	3032.8255775963	1297.37854300854	2846.1984058564	3256.67935051989	2998.12876213116	549.683989502361	1267.55342589696	1180.86071735147	18564.9066921329	1856.49066921329	1037.88760341526	0.559058884931043	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	5689.87835764949	2042.31954658716	3267.52908120231	2633.468814329	1331.20916667686	5304.42716238603	2664.28200331991	1460.64850808445	2939.87637826001	3021.39055309841	30355.0295715936	3035.50295715936	1450.19305750128	0.477743911954011	FDH	formate dehydrogenase
K00123	4635.48616994551	6248.84251891373	10170.9984312621	4159.5336761783	7655.24594162657	3084.01309267976	6249.2202711164	6120.86025726035	2944.23242102076	3895.33617544425	55163.7689554477	5516.37689554477	2247.37658788844	0.407400841248447	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	3942.95634366534	4528.7738358819	5202.28652377089	11376.3748034974	6999.20728639606	3153.45133950952	6050.05520014945	9029.93127688137	5834.24658866137	4141.57297330381	60258.8561717171	6025.88561717171	2531.93943991265	0.420177149180776	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00126	453.127046973998	348.13738116923	1067.08760928916	703.293148130376	2176.51554575483	1144.59687509495	2111.60407804602	393.216054114782	1007.16024146361	733.983740926526	10138.7217209635	1013.87217209635	657.805241390891	0.648804908049473	fdsD	formate dehydrogenase subunit delta
K00127	2261.03477800455	4592.26215444947	2337.79200161791	1375.30093176121	5225.94886429341	3093.62556720345	4216.08429211136	3889.80538013043	4507.40659150261	2742.85412857922	34242.1146896536	3424.21146896536	1244.21365188608	0.363357714078921	fdoI, fdsG	formate dehydrogenase subunit gamma
K00131	0	141.034601663046	0	147.605131377693	0	66.7087817764818	0	87.4650152179018	32.41093340185	0	475.224463436972	47.5224463436972	59.8561828863646	1.25953496698099	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00134	11743.0106628832	12255.0224417985	15429.0819413404	12869.5733718074	10843.7093552078	13407.5782383592	11909.8213646357	15853.0781252819	12422.6991348054	13393.469161525	130127.043797644	13012.7043797644	1587.56269543668	0.122000980665129	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase
K00140	5384.02447690769	5221.03252862644	4240.26939327853	6596.21927379928	6612.42168574051	5484.52609153731	4323.60776812486	6618.32597232742	3781.26921193732	4038.31129167779	52300.0076939571	5230.00076939571	1111.24243473242	0.212474621654943	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
K00148	2194.48974190102	402.07318017056	1261.14867311551	6366.59066924152	2336.85313456997	2253.50684505233	2314.9473491001	3521.53051393403	1380.37630212816	2308.39042928396	24339.9068384972	2433.99068384972	1612.16739814007	0.662355615753708	fdhA	glutathione-independent formaldehyde dehydrogenase
K00150	567.695076160941	2198.09924085199	65.0043955616299	115.710952405149	55.6108076019452	351.477177076996	28.3953622707374	599.827661099083	838.982799545609	161.279830062239	4982.08330263632	498.208330263632	658.833040197596	1.3224047053749	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00161	7062.0632361575	5600.10287621445	10720.5217211027	9613.17313515162	7983.86213042369	7563.43674407632	7590.16623093897	9259.97293802294	6621.73221902072	9468.54452057101	81483.5757516799	8148.35757516799	1578.51147852953	0.193721429621599	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit
